"시군구별","구분별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월",
"화성시","남","시군별 세대 및 인구","","360319","365586","370095","373610","375963","377740","379722","382119","384000","387012","389977","392871","396222","399326","401902","404675","407102","409306","411797","413982","416120","418590","420550","422470","424061","425993","428761","431049","432499","433894","435377","437083","439243","440954","442631","443841",
"화성시","여","시군별 세대 및 인구","","336268","341538","345531","348610","350535","352199","354139","356372","358053","360709","363282","365851","368885","371773","374056","376832","379081","381140","383389","385330","387132","389393","391228","392926","394699","396477","398842","400839","401879","402768","404116","405781","407607","409096","410475","411407",
"화성시","계","시군별 세대 및 인구","","36976","37101","37070","37023","36988","37286","37427","37784","38109","38633","39247","39378","39688","39679","39372","39677","39919","39938","40422","40544","40345","40821","41029","40553","41171","41351","40836","40698","40331","40121","39659","39358","38964","38562","38106","37636",
"화성시","남","시군별 세대 및 인구","","","","27176","","","27210","","","27856","","","28668","","","28627","","","28945","","","29164","","","29198","","","29355","","","28813","","","27862","","","26810",
"화성시","여","시군별 세대 및 인구","","","","9894","","","10076","","","10253","","","10710","","","10745","","","10993","","","11181","","","11355","","","11481","","","11308","","","11102","","","10826",
"안산시","합계","시군별 세대 및 인구","명","729657","725590","722652","720938","719698","719042","717547","716374","716309","716785","717194","717130","716840","716438","716005","715368","714344","713646","713249","712410","711719","710132","709090","707385","707186","708136","709159","709687","709574","709728","708884","707962","707405","706615","706483","706185",
"안산시","남","시군별 세대 및 인구","","","","374065","","","372455","","","371202","","","371585","","","371024","","","369746","","","368626","","","366333","","","367102","","","367313","","","365930","","","365060",
"안산시","여","시군별 세대 및 인구","","","","348587","","","346587","","","345107","","","345545","","","344981","","","343900","","","343093","","","341052","","","342057","","","342415","","","341475","","","341125",
"안산시","세대수","시군별 세대 및 인구","세대","277909","277056","276182","275740","275504","275478","275318","275186","275449","275918","276292","276662","276949","277237","277389","277252","277134","277298","277787","318215","277810","277426","277306","277331","277629","278507","279738","280318","281172","281932","282436","283043","283537","284087","","286061",
"안산시","계","시군별 세대 및 인구","","675804","671570","668184","666168","664842","664167","662658","661313","660953","660743","660452","660343","659963","659378","658882","657988","657260","656857","656811","655898","654668","652835","651777","650918","650559","651211","652763","653575","654047","654450","654093","653733","653505","653383","654210","654915",
"안산시","남","시군별 세대 및 인구","","346700","344565","342714","341709","341112","340763","340005","339362","339150","338990","338780","338701","338449","338153","337952","337465","337101","336920","336925","336414","335716","334753","334206","333766","333471","333839","334625","335033","335253","335477","335259","335082","334987","334914","335365","335804",
"안산시","여","시군별 세대 및 인구","","329104","327005","325470","324459","323730","323404","322653","321951","321803","321753","321672","321642","321514","321225","320930","320523","320159","319937","319886","319484","318952","318082","317571","317152","317088","317372","318138","318542","318794","318973","318834","318651","318518","318469","318845","319111",
"안산시","계","시군별 세대 및 인구","","53853","54020","54468","54770","54856","54875","54889","55061","55356","56042","56742","56787","56877","57060","57123","57380","57084","56789","56438","56512","57051","57297","57313","56467","56627","56925","56396","56112","55527","55278","54791","54229","53900","53232","52273","51270",
"안산시","남","시군별 세대 및 인구","","","","31351","","","31692","","","32052","","","32884","","","33072","","","32826","","","32910","","","32567","","","32477","","","31836","","","30943","","","29256",
"안산시","여","시군별 세대 및 인구","","","","23117","","","23183","","","23304","","","23903","","","24051","","","23963","","","24141","","","23900","","","23919","","","23442","","","22957","","","22014",
"안양시","합계","시군별 세대 및 인구","명","593621","592185","590963","590332","590684","590201","589422","588491","587809","586759","585532","584239","582959","582116","581086","580745","580559","580097","579382","578642","577949","577224","576573","574464","572799","570516","569341","568352","566994","565171","563603","561798","560131","558950","557966","556570",
"안양시","남","시군별 세대 및 인구","","","","293240","","","292684","","","291429","","","289463","","","287781","","","287240","","","286121","","","284322","","","281840","","","279713","","","277107","","","275175",
"안양시","여","시군별 세대 및 인구","","","","297723","","","297517","","","296380","","","294776","","","293305","","","292857","","","291828","","","290142","","","287501","","","285458","","","283024","","","281395",
"안양시","세대수","시군별 세대 및 인구","세대","223023","222771","222621","222604","222904","222771","222779","222740","222789","222707","222557","222361","222235","222347","222316","222561","222989","223040","223080","223080","223121","223038","223027","222589","222143","221764","221560","221427","221390","221092","220980","220799","220604","220508","","220552",
"안양시","계","시군별 세대 및 인구","","586622","585167","583877","583140","583447","582929","582153","581280","580586","579473","578154","576831","575550","574672","573660","573296","573129","572673","571978","571233","570544","569752","569045","567044","565352","563066","561966","561069","559792","558017","556561","554857","553286","552154","551296","550027",
"안양시","남","시군별 세대 및 인구","","291182","290421","289781","289388","289393","289103","288662","288281","287872","287230","286581","285816","285185","284666","284123","283958","283867","283570","283185","282861","282458","282129","281682","280652","279857","278678","278194","277727","276997","276140","275318","274506","273677","273030","272550","271936",
"안양시","여","시군별 세대 및 인구","","295440","294746","294096","293752","294054","293826","293491","292999","292714","292243","291573","291015","290365","290006","289537","289338","289262","289103","288793","288372","288086","287623","287363","286392","285495","284388","283772","283342","282795","281877","281243","280351","279609","279124","278746","278091",
"안양시","계","시군별 세대 및 인구","","6999","7018","7086","7192","7237","7272","7269","7211","7223","7286","7378","7408","7409","7444","7426","7449","7430","7424","7404","7409","7405","7472","7528","7420","7447","7450","7375","7283","7202","7154","7042","6941","6845","6796","6670","6543",
"안양시","남","시군별 세대 및 인구","","","","3459","","","3581","","","3557","","","3647","","","3658","","","3670","","","3663","","","3670","","","3646","","","3573","","","3430","","","3239",
"안양시","여","시군별 세대 및 인구","","","","3627","","","3691","","","3666","","","3761","","","3768","","","3754","","","3742","","","3750","","","3729","","","3581","","","3415","","","3304",
"평택시","합계","시군별 세대 및 인구","명","504207","505812","507326","508514","509730","511162","512637","513676","514439","516189","517665","518672","519412","521359","522774","524136","525190","525873","527914","529727","531618","533719","535544","537135","539135","541564","543392","544841","546212","547947","549362","551023","552827","555118","557716","560475",
"평택시","남","시군별 세대 및 인구","","","","261873","","","263962","","","265666","","","268012","","","270224","","","272065","","","275188","","","278126","","","281550","","","284271","","","286896","","","291048",
"평택시","여","시군별 세대 및 인구","","","","245453","","","247200","","","248773","","","250660","","","252550","","","253808","","","256430","","","259009","","","261842","","","263676","","","265931","","","269427",
"평택시","세대수","시군별 세대 및 인구","세대","205060","206126","207158","208004","208775","209663","210516","211290","211884","212924","213777","214409","215126","216266","217352","218118","218870","219453","220579","220579","222726","223881","224892","226020","227141","228602","230067","231092","232451","234015","235352","236876","238404","240008","","243838",
"평택시","계","시군별 세대 및 인구","","482737","484169","485644","486740","487798","489081","490410","491338","491982","493570","494716","495642","496324","498126","499620","500787","501736","502292","504221","505817","507621","509529","511229","513027","514876","517087","519124","520649","522111","523881","525378","527166","529140","531655","534343","537307",
"평택시","남","시군별 세대 및 인구","","247285","248070","248877","249525","250104","250812","251445","251941","252264","253115","253788","254336","254764","255766","256654","257342","257863","258217","259229","260106","261089","262086","263039","264012","265037","266206","267360","268331","269109","270183","271051","271992","273077","274461","275968","277617",
"평택시","여","시군별 세대 및 인구","","235452","236099","236767","237215","237694","238269","238965","239397","239718","240455","240928","241306","241560","242360","242966","243445","243873","244075","244992","245711","246532","247443","248190","249015","249839","250881","251764","252318","253002","253698","254327","255174","256063","257194","258375","259690",
"평택시","계","시군별 세대 및 인구","","21470","21643","21682","21774","21932","22081","22227","22338","22457","22619","22949","23030","23088","23233","23154","23349","23454","23581","23693","23910","23997","24190","24315","24108","24259","24477","24268","24192","24101","24066","23984","23857","23687","23463","23373","23168",
"평택시","남","시군별 세대 및 인구","","","","12996","","","13150","","","13402","","","13676","","","13570","","","13848","","","14099","","","14114","","","14190","","","14088","","","13819","","","13431",
"평택시","여","시군별 세대 및 인구","","","","8686","","","8931","","","9055","","","9354","","","9584","","","9733","","","9898","","","9994","","","10078","","","9978","","","9868","","","9737",
"시흥시","합계","시군별 세대 및 인구","명","455149","459499","463066","465374","467228","468733","470090","473180","474769","477741","480691","483327","485950","489720","492555","494818","497013","499078","500577","501985","503350","505964","507385","508379","510257","511403","511966","512859","513548","515449","518035","522798","526624","528734","530863","533305",
"시흥시","남","시군별 세대 및 인구","","","","244909","","","247819","","","251019","","","255608","","","260421","","","263963","","","266097","","","268588","","","270413","","","272237","","","277819","","","280966",
"시흥시","여","시군별 세대 및 인구","","","","218157","","","220914","","","223750","","","227719","","","232134","","","235115","","","237253","","","239791","","","241553","","","243212","","","248805","","","252339",
"시흥시","세대수","시군별 세대 및 인구","세대","169192","171055","172327","173202","174065","174650","175280","176588","177408","178754","179881","181061","182238","183872","185316","186443","187572","188623","189663","189663","191649","192885","193706","194750","195728","196529","197185","197801","198558","199896","201498","204039","206249","207689","","211150",
"시흥시","계","시군별 세대 및 인구","","422946","427169","430328","432427","434273","435555","436789","439685","441141","443828","446251","448687","451182","454800","457610","459601","461815","463836","465515","466962","468274","470759","472162","473682","475396","476481","477425","478464","479368","481430","484164","489077","493005","495391","497925","500895",
"시흥시","남","시군별 세대 및 인구","","221606","223748","225327","226357","227313","228017","228678","230142","230895","232322","233513","234840","236156","237996","239535","240657","241804","242805","243581","244379","245091","246360","247082","247804","248693","249307","249786","250312","250780","251904","253293","255745","257762","258939","260233","261730",
"시흥시","여","시군별 세대 및 인구","","201340","203421","205001","206070","206960","207538","208111","209543","210246","211506","212738","213847","215026","216804","218075","218944","220011","221031","221934","222583","223183","224399","225080","225878","226703","227174","227639","228152","228588","229526","230871","233332","235243","236452","237692","239165",
