"시군별(1)",시군별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군별(1)",시군별(2),합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기가스증기 및 공기조절 공급업,전기가스증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술서비스업,전문 과학 및 기술서비스업,사업시설관리 및 사업지원 및 임대서비스업,사업시설관리 및 사업지원 및 임대서비스업,공공행정 국방 및 사회보장행정,공공행정 국방 및 사회보장행정,교육서비스업,교육서비스업,보건업 및 사회복지서비스업,보건업 및 사회복지서비스업,예술 스포츠 및 여가관련서비스업,예술 스포츠 및 여가관련서비스업,협회 및 단체 수리 기타 개인서비스업,협회 및 단체 수리 기타 개인서비스업
"시군별(1)",시군별(2),사업체수 (개),여성대표자 사업체수 (개),종사자수 (명),남성 종사자수 (명),여성 종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"북부",의정부시,26642,11319,122077,57477,64600,1,16,2,47,1292,7067,7,635,26,553,735,6023,6243,19612,2745,5943,5465,16840,126,1385,337,4826,1200,3956,721,4511,354,3098,62,6832,1532,12496,1376,18360,1041,3062,3377,6815
"북부",동두천시,6662,2821,29366,14390,14976,1,2,-,-,504,5475,7,211,30,355,212,1117,1447,3775,762,1417,1522,4280,21,191,51,758,232,662,77,227,87,310,30,1465,271,2493,318,4372,203,679,887,1577
"북부",고양시,69687,26619,334751,173435,161316,23,130,-,-,5891,32526,26,609,117,2086,2408,20535,18411,64562,7011,19277,10686,37464,925,6628,594,8275,3325,10985,1969,10813,1330,14432,108,7343,4385,31386,2675,40593,2432,8997,7371,18110
"북부",구리시,14826,5742,66383,33128,33255,1,2,-,-,787,4092,2,87,22,336,457,4031,4152,13974,1838,4106,2626,8582,62,518,162,2902,627,1821,326,2314,209,2834,30,2194,781,5105,619,7395,482,1624,1643,4466
"북부",남양주시,39232,15079,174878,92354,82524,19,80,5,30,5673,33690,12,213,68,1028,1379,9497,9606,34867,3381,8622,6706,21228,125,857,173,2003,1911,4871,696,2943,516,2821,56,3683,2139,16757,1764,19422,1215,4472,3788,7794
"북부",파주시,32368,11910,192653,116888,75765,23,181,5,59,6075,76913,12,235,80,1238,990,8003,6868,23802,3329,11194,5636,16929,424,4251,170,2063,1369,3720,564,2269,468,3843,66,2735,1364,11945,1137,12857,1018,4280,2770,6136
"북부",양주시,18597,6475,92748,55379,37369,7,29,5,101,4319,33909,16,173,91,1008,669,4884,4044,12744,1703,4111,2901,8767,37,212,72,712,735,1739,256,1103,288,1747,41,2352,650,6093,634,7996,497,1749,1632,3319
"북부",포천시,18994,6415,97109,61369,35740,34,349,17,424,6159,44549,10,351,124,948,563,3583,3716,11933,1443,3548,3364,9241,47,269,93,1418,340,680,255,1242,239,923,60,2344,365,5230,428,4994,405,2463,1332,2620
"북부",연천군,3841,1524,15490,8958,6532,23,166,6,47,394,2940,5,64,37,431,219,1267,777,1686,256,582,928,2019,15,87,36,282,138,216,57,245,55,192,37,1500,121,917,149,1572,140,467,448,810
"북부",가평군,6932,2976,28377,14742,13635,2,106,4,237,334,1798,8,161,22,294,319,2063,1173,2970,265,738,3085,8451,35,164,41,423,203,437,135,558,72,438,30,1496,183,2035,192,2326,266,2282,563,1400
