배출연도,배출월,광역시도,기초지자체,배출량(톤)
2017,9,대구광역시,동구,154537
2017,9,대구광역시,서구,78606
2017,9,대구광역시,남구,140630
2017,9,대구광역시,북구,355449
2017,9,대구광역시,수성구,521613
2017,9,대구광역시,달서구,1104208
2017,9,대구광역시,달성군,109847
2017,9,인천광역시,중구,71996
2017,9,인천광역시,동구,181120
2017,9,인천광역시,미추홀구,512631
2017,9,인천광역시,연수구,731665
2017,9,인천광역시,남동구,318103
2017,9,인천광역시,부평구,498524
2017,9,인천광역시,계양구,291118
2017,9,인천광역시,서구,1089182
2017,9,인천광역시,강화군,27719
2017,9,광주광역시,동구,102998
2017,9,광주광역시,서구,691837
2017,9,광주광역시,남구,414656
2017,9,광주광역시,북구,585064
2017,9,광주광역시,광산구,376982
2017,9,대전광역시,동구,14686
2017,9,대전광역시,중구,9650
2017,9,대전광역시,서구,46879
2017,9,대전광역시,유성구,53764
2017,9,대전광역시,대덕구,34682
2017,9,울산광역시,중구,104478
2017,9,울산광역시,남구,35353
2017,9,울산광역시,동구,48359
2017,9,울산광역시,북구,38735
2017,9,경기도,수원시장안구,752332
2017,9,경기도,수원시권선구,1042210
2017,9,경기도,수원시팔달구,369283
2017,9,경기도,수원시영통구,1343538
2017,9,경기도,성남시중원구,4637
2017,9,경기도,성남시분당구,13820
2017,9,경기도,의정부시,76607
2017,9,경기도,안양시,39730
2017,9,경기도,부천시,168343
2017,9,경기도,평택시,228153
2017,9,경기도,동두천시,213938
2017,9,경기도,고양시,18511
2017,9,경기도,구리시,663171
2017,9,경기도,남양주시,188329
2017,9,경기도,오산시,717393
2017,9,경기도,군포시,173912
2017,9,경기도,의왕시,636233
2017,9,경기도,용인시,3046089
2017,9,경기도,파주시,797634
2017,9,경기도,이천시,450130
2017,9,경기도,화성시,2181968
2017,9,경기도,광주시,1197
2017,9,경기도,양주시,416068
2017,9,경기도,포천시,211858
2017,9,경기도,여주시,137724
2017,9,강원도,춘천시,94081
2017,9,강원도,원주시,842308
2017,9,강원도,강릉시,165857
2017,9,강원도,동해시,747591
2017,9,강원도,삼척시,67905
2017,9,강원도,홍천군,74211
2017,9,강원도,횡성군,69651
2017,9,충청북도,청주시,1189632
2017,9,전라북도,군산시,666833
2017,9,전라북도,익산시,3219956
2017,9,전라북도,정읍시,618451
2017,9,전라북도,진안군,26410
2017,9,전라북도,임실군,18171
2017,9,전라북도,순창군,7449
2017,9,전라북도,고창군,63853
2017,9,전라북도,부안군,55856
2017,9,전라남도,순천시,261045
2017,9,전라남도,광양시,592591
2017,9,전라남도,해남군,2704
2017,9,전라남도,무안군,6544
2017,9,경상북도,포항시,818519
2017,9,경상북도,김천시,306096
2017,9,경상북도,안동시,350540
2017,9,경상북도,구미시,1180853
2017,9,경상북도,영주시,22068
2017,9,경상북도,상주시,104084
2017,9,경상북도,경산시,434530
2017,9,경상북도,예천군,24231
2017,9,경상북도,울진군,139353
2017,9,경상북도,울릉군,11558
2017,9,경상남도,진주시,613146
2017,9,경상남도,통영시,14946
2017,9,경상남도,김해시,1505837
2017,9,경상남도,거제시,25116
2017,9,경상남도,양산시,141504
2017,9,경상남도,의령군,2605
2017,9,경상남도,창녕군,92025
2017,9,제주특별자치도,제주시,1661271
2017,9,제주특별자치도,서귀포시,685079
2017,10,서울특별시,종로구,82093
2017,10,서울특별시,중구,170160
2017,10,서울특별시,용산구,6078
2017,10,서울특별시,성동구,343884
2017,10,서울특별시,광진구,162141
2017,10,서울특별시,동대문구,115416
2017,10,서울특별시,중랑구,516485
2017,10,서울특별시,성북구,193924
2017,10,서울특별시,도봉구,1889072
2017,10,서울특별시,노원구,1216234
2017,10,서울특별시,은평구,135833
2017,10,서울특별시,서대문구,507430
2017,10,서울특별시,마포구,1235631
2017,10,서울특별시,양천구,373835
2017,10,서울특별시,강서구,182545
2017,10,서울특별시,구로구,58355
2017,10,서울특별시,금천구,351868
2017,10,서울특별시,영등포구,895598
2017,10,서울특별시,동작구,471417
2017,10,서울특별시,서초구,350432
2017,10,서울특별시,강동구,300209
2017,10,서울특별시,송파구,1686883
2017,10,부산광역시,중구,9237
2017,10,부산광역시,서구,93279
2017,10,부산광역시,동구,61261
2017,10,부산광역시,영도구,187464
2017,10,부산광역시,부산진구,697867
2017,10,부산광역시,동래구,499805
2017,10,부산광역시,남구,555793
2017,10,부산광역시,북구,802420
2017,10,부산광역시,해운대구,1175343
2017,10,부산광역시,사하구,763051
2017,10,부산광역시,금정구,434623
2017,10,부산광역시,강서구,343969
2017,10,부산광역시,연제구,420600
2017,10,부산광역시,수영구,313151
2017,10,부산광역시,사상구,660450
2017,10,부산광역시,기장군,394731
2017,10,대구광역시,중구,152729
2017,10,대구광역시,동구,175449
2017,10,대구광역시,서구,93188
2017,10,대구광역시,남구,166027
2017,10,대구광역시,북구,414172
2017,10,대구광역시,수성구,591307
2017,10,대구광역시,달서구,1296476
2017,10,대구광역시,달성군,127242
2017,10,인천광역시,중구,86599
2017,10,인천광역시,동구,211672
2017,10,인천광역시,미추홀구,590941
2017,10,인천광역시,연수구,838043
2017,10,인천광역시,남동구,380172
2017,10,인천광역시,부평구,558260
2017,10,인천광역시,계양구,355467
2017,10,인천광역시,서구,1250774
2017,10,인천광역시,강화군,30789
2017,10,광주광역시,동구,118250
2017,10,광주광역시,서구,812175
2017,10,광주광역시,남구,478270
2017,10,광주광역시,북구,685107
2017,10,광주광역시,광산구,490191
2017,10,대전광역시,동구,17682
2017,10,대전광역시,중구,10965
2017,10,대전광역시,서구,75368
2017,10,대전광역시,유성구,61784
2017,10,대전광역시,대덕구,41319
2017,10,울산광역시,중구,122401
2017,10,울산광역시,남구,44424
2017,10,울산광역시,동구,55399
2017,10,울산광역시,북구,45002
2017,10,경기도,수원시장안구,847870
2017,10,경기도,수원시권선구,1182667
2017,10,경기도,수원시팔달구,413292
2017,10,경기도,수원시영통구,1490323
2017,10,경기도,성남시중원구,5300
2017,10,경기도,성남시분당구,14508
2017,10,경기도,의정부시,94079
2017,10,경기도,안양시,44974
2017,10,경기도,부천시,215933
2017,10,경기도,평택시,259100
2017,10,경기도,동두천시,248637
2017,10,경기도,고양시,18918
2017,10,경기도,구리시,754360
2017,10,경기도,남양주시,218205
2017,10,경기도,오산시,819150
2017,10,경기도,군포시,194067
2017,10,경기도,의왕시,712649
2017,10,경기도,용인시,3396107
2017,10,경기도,파주시,906041
2017,10,경기도,이천시,501079
2017,10,경기도,화성시,2463044
2017,10,경기도,광주시,391632
2017,10,경기도,양주시,493903
2017,10,경기도,포천시,239127
2017,10,경기도,여주시,152656
2017,10,강원도,춘천시,107476
2017,10,강원도,원주시,966033
2017,10,강원도,강릉시,192408
2017,10,강원도,동해시,814800
2017,10,강원도,삼척시,76066
2017,10,강원도,홍천군,91194
2017,10,강원도,횡성군,81588
2017,10,강원도,고성군,1804
2017,10,충청북도,청주시,1357010
2017,10,전라북도,군산시,760823
2017,10,전라북도,익산시,3546067
2017,10,전라북도,정읍시,657681
2017,10,전라북도,진안군,32706
2017,10,전라북도,임실군,20096
2017,10,전라북도,순창군,8785
2017,10,전라북도,고창군,71730
2017,10,전라북도,부안군,62677
2017,10,전라남도,순천시,308418
2017,10,전라남도,광양시,685380
2017,10,전라남도,해남군,2814
2017,10,전라남도,무안군,7134
2017,10,경상북도,포항시,925742
2017,10,경상북도,김천시,346187
2017,10,경상북도,안동시,395359
2017,10,경상북도,구미시,1354604
2017,10,경상북도,영주시,46649
2017,10,경상북도,상주시,115691
2017,10,경상북도,경산시,495964
2017,10,경상북도,예천군,29508
2017,10,경상북도,울진군,156778
2017,10,경상북도,울릉군,16000
2017,10,경상남도,진주시,709847
2017,10,경상남도,통영시,45648
2017,10,경상남도,김해시,1762153
2017,10,경상남도,거제시,27294
2017,10,경상남도,양산시,182665
2017,10,경상남도,의령군,3077
2017,10,경상남도,창녕군,113787
2017,10,제주특별자치도,제주시,1876106
2017,10,제주특별자치도,서귀포시,731460
2017,11,서울특별시,종로구,83377
2017,11,서울특별시,중구,168911
2017,11,서울특별시,용산구,5980
2017,11,서울특별시,성동구,350602
2017,11,서울특별시,광진구,174275
2017,11,서울특별시,동대문구,122056
2017,11,서울특별시,중랑구,514230
2017,11,서울특별시,성북구,208456
2017,11,서울특별시,도봉구,1929628
2017,11,서울특별시,노원구,1218515
2017,11,서울특별시,은평구,143007
2017,11,서울특별시,서대문구,509026
2017,11,서울특별시,마포구,1259028
2017,11,서울특별시,양천구,378161
2017,11,서울특별시,강서구,187835
2017,11,서울특별시,구로구,67977
2017,11,서울특별시,금천구,355113
2017,11,서울특별시,영등포구,916070
2017,11,서울특별시,동작구,476309
2017,11,서울특별시,서초구,370529
2017,11,서울특별시,강동구,301415
2017,11,서울특별시,송파구,1756021
2017,11,부산광역시,중구,8359
2017,11,부산광역시,서구,83238
2017,11,부산광역시,동구,56173
2017,11,부산광역시,영도구,166610
2017,11,부산광역시,부산진구,636157
2017,11,부산광역시,동래구,471840
2017,11,부산광역시,남구,518757
2017,11,부산광역시,북구,751110
2017,11,부산광역시,해운대구,1092730
2017,11,부산광역시,사하구,701036
2017,11,부산광역시,금정구,410041
2017,11,부산광역시,강서구,338582
2017,11,부산광역시,연제구,393993
2017,11,부산광역시,수영구,288599
2017,11,부산광역시,사상구,604599
2017,11,부산광역시,기장군,381291
2017,11,대구광역시,중구,146146
2017,11,대구광역시,동구,166756
2017,11,대구광역시,서구,86361
2017,11,대구광역시,남구,152256
2017,11,대구광역시,북구,425996
2017,11,대구광역시,수성구,569448
2017,11,대구광역시,달서구,1229919
2017,11,대구광역시,달성군,123627
2017,11,인천광역시,중구,101763
2017,11,인천광역시,동구,210226
2017,11,인천광역시,미추홀구,590094
2017,11,인천광역시,연수구,846200
2017,11,인천광역시,남동구,442048
2017,11,인천광역시,부평구,579929
2017,11,인천광역시,계양구,364335
2017,11,인천광역시,서구,1266643
2017,11,인천광역시,강화군,32427
2017,11,광주광역시,동구,112311
2017,11,광주광역시,서구,821764
2017,11,광주광역시,남구,457380
2017,11,광주광역시,북구,682197
2017,11,광주광역시,광산구,534503
2017,11,대전광역시,동구,23330
2017,11,대전광역시,중구,11427
2017,11,대전광역시,서구,78513
2017,11,대전광역시,유성구,62593
2017,11,대전광역시,대덕구,40940
2017,11,울산광역시,중구,117392
2017,11,울산광역시,남구,45688
2017,11,울산광역시,동구,56060
2017,11,울산광역시,북구,44167
2017,11,경기도,수원시장안구,892296
2017,11,경기도,수원시권선구,1225375
2017,11,경기도,수원시팔달구,428002
2017,11,경기도,수원시영통구,1567318
2017,11,경기도,성남시중원구,5510
2017,11,경기도,성남시분당구,15536
2017,11,경기도,의정부시,100966
2017,11,경기도,안양시,45972
2017,11,경기도,부천시,238767
2017,11,경기도,평택시,271237
2017,11,경기도,동두천시,243638
2017,11,경기도,고양시,20714
2017,11,경기도,구리시,821310
2017,11,경기도,남양주시,225786
2017,11,경기도,오산시,850449
2017,11,경기도,군포시,194944
2017,11,경기도,의왕시,747228
2017,11,경기도,용인시,3489051
2017,11,경기도,파주시,912443
2017,11,경기도,이천시,516280
2017,11,경기도,화성시,2623085
2017,11,경기도,광주시,715170
2017,11,경기도,양주시,501754
2017,11,경기도,포천시,238237
2017,11,경기도,여주시,156257
2017,11,강원도,춘천시,158584
2017,11,강원도,원주시,958911
2017,11,강원도,강릉시,197252
2017,11,강원도,동해시,770058
2017,11,강원도,삼척시,80606
2017,11,강원도,홍천군,90461
2017,11,강원도,횡성군,77912
2017,11,강원도,고성군,7968
2017,11,충청북도,청주시,1362249
2017,11,전라북도,군산시,754855
2017,11,전라북도,익산시,3688566
2017,11,전라북도,정읍시,709255
2017,11,전라북도,진안군,31623
2017,11,전라북도,임실군,20227
2017,11,전라북도,순창군,8558
2017,11,전라북도,고창군,73621
2017,11,전라북도,부안군,63274
2017,11,전라남도,순천시,304642
2017,11,전라남도,광양시,557712
2017,11,전라남도,해남군,2711
2017,11,전라남도,무안군,6593
2017,11,경상북도,포항시,889157
2017,11,경상북도,김천시,338208
2017,11,경상북도,안동시,381403
2017,11,경상북도,구미시,1348677
2017,11,경상북도,영주시,73128
2017,11,경상북도,상주시,114967
2017,11,경상북도,경산시,482062
2017,11,경상북도,예천군,30040
2017,11,경상북도,울진군,157892
2017,11,경상북도,울릉군,16535
2017,11,경상남도,진주시,657807
2017,11,경상남도,통영시,45427
2017,11,경상남도,김해시,1671908
2017,11,경상남도,거제시,26764
2017,11,경상남도,양산시,206289
2017,11,경상남도,의령군,2689
2017,11,경상남도,창녕군,105814
2017,11,제주특별자치도,제주시,1740598
2017,11,제주특별자치도,서귀포시,695983
2017,12,서울특별시,종로구,80394
2017,12,서울특별시,중구,161272
2017,12,서울특별시,용산구,5724
2017,12,서울특별시,성동구,346488
2017,12,서울특별시,광진구,162250
2017,12,서울특별시,동대문구,128557
2017,12,서울특별시,중랑구,463631
2017,12,서울특별시,성북구,198144
2017,12,서울특별시,도봉구,1782923
2017,12,서울특별시,노원구,1169313
2017,12,서울특별시,은평구,137253
2017,12,서울특별시,서대문구,478671
2017,12,서울특별시,마포구,1162024
2017,12,서울특별시,양천구,388671
2017,12,서울특별시,강서구,177925
2017,12,서울특별시,구로구,81513
2017,12,서울특별시,금천구,323540
2017,12,서울특별시,영등포구,854446
2017,12,서울특별시,동작구,447552
2017,12,서울특별시,서초구,361091
2017,12,서울특별시,강동구,310745
2017,12,서울특별시,송파구,1658039
2017,12,부산광역시,중구,8683
2017,12,부산광역시,서구,90815
2017,12,부산광역시,동구,61678
2017,12,부산광역시,영도구,180028
2017,12,부산광역시,부산진구,680611
2017,12,부산광역시,동래구,502258
2017,12,부산광역시,남구,554633
2017,12,부산광역시,북구,798737
2017,12,부산광역시,해운대구,1186786
2017,12,부산광역시,사하구,761549
2017,12,부산광역시,금정구,441081
2017,12,부산광역시,강서구,361519
2017,12,부산광역시,연제구,424298
2017,12,부산광역시,수영구,308573
2017,12,부산광역시,사상구,644064
2017,12,부산광역시,기장군,404677
2017,12,대구광역시,중구,146785
2017,12,대구광역시,동구,161348
2017,12,대구광역시,서구,80660
2017,12,대구광역시,남구,149288
2017,12,대구광역시,북구,411567
2017,12,대구광역시,수성구,554641
2017,12,대구광역시,달서구,1198236
2017,12,대구광역시,달성군,122461
2017,12,인천광역시,중구,114555
2017,12,인천광역시,동구,186668
2017,12,인천광역시,미추홀구,525859
2017,12,인천광역시,연수구,750947
2017,12,인천광역시,남동구,474131
2017,12,인천광역시,부평구,528039
2017,12,인천광역시,계양구,321772
2017,12,인천광역시,서구,1126256
2017,12,인천광역시,강화군,26657
2017,12,광주광역시,동구,118554
2017,12,광주광역시,서구,900403
2017,12,광주광역시,남구,488949
2017,12,광주광역시,북구,720542
2017,12,광주광역시,광산구,562752
2017,12,대전광역시,동구,23910
2017,12,대전광역시,중구,10184
2017,12,대전광역시,서구,70919
2017,12,대전광역시,유성구,58351
2017,12,대전광역시,대덕구,35854
2017,12,울산광역시,중구,121732
2017,12,울산광역시,남구,46598
2017,12,울산광역시,동구,55409
2017,12,울산광역시,북구,45602
2017,12,경기도,수원시장안구,783385
2017,12,경기도,수원시권선구,1097377
2017,12,경기도,수원시팔달구,377672
2017,12,경기도,수원시영통구,1428490
2017,12,경기도,성남시중원구,4577
2017,12,경기도,성남시분당구,14414
2017,12,경기도,의정부시,100485
2017,12,경기도,안양시,42509
2017,12,경기도,부천시,243950
2017,12,경기도,평택시,231934
2017,12,경기도,동두천시,210606
2017,12,경기도,고양시,18303
2017,12,경기도,구리시,724353
2017,12,경기도,남양주시,202496
